receipt_number,item_name,item_id,unit_price,quantity,unit,pre_discount_sum
30,Standardmjölk 3%,7318690115144,12.9,2.0,st,25.8
30,Tomater f.kr basil,7318690105909,10.0,1.0,st,11.9
30,Tomater f.kr vitlö,7318690105923,10.0,1.0,st,11.9
30,Vitlöksbaguette,7318690082552,10.0,1.0,st,10.0
31,Banan Chiquita,4011,25.9,0.8,kg,20.72
31,Bärkasse papper,2,3.5,1.0,st,3.5
31,Chicken sticks,7313940027116,34.9,1.0,st,34.9
31,Energidryck B,5060166694777,11.0,1.0,st,19.9
31,Flankstek vac Sv,2319221800000,117.49,0.75,kg,175.31
31,GamVanilj Hall/Blå,8711327462755,8.0,1.0,st,8.0
31,Gifflar Kanel,7311070006209,17.5,2.0,st,57.8
31,Kokt skinka,7350025545561,12.9,1.0,st,12.9
31,Levain,7311070008159,42.9,1.0,st,42.9
31,Lussekatt,9014,2.9,10.0,st,89.0
31,Mezze Maniche,7350002404546,11.0,1.0,st,19.9
31,Morötter 1kg,7350017802108,7.5,2.0,st,33.8
31,Standardmjölk 3%,7318690115144,12.9,2.0,st,25.8
31,Tortiglioni,7350002404577,11.0,1.0,st,19.9
32,AXA Havregryn,7310130321085,30.9,1.0,st,30.9
32,Banan Chiquita,4011,25.9,0.39,kg,9.97
32,Bärkasse papper,2,3.5,1.0,st,3.5
32,Dipp Sour cream,6408432000003,10.0,1.0,st,10.0
32,Diskmedel original,4015600444419,30.9,1.0,st,30.9
32,ICA Bad&Toa 6-p,7318690046905,36.9,1.0,st,36.9
32,Kvarg Blåbär/Vanil,7392672004039,19.9,2.0,st,39.8
32,Levain,7311070008159,42.9,1.0,st,42.9
32,Milea,8711000537527,55.9,1.0,st,55.9
32,Nötfärs 12%,2319103300000,89.0,1.66,kg,147.92
32,Standardmjölk 3%,7318690115144,12.9,3.0,st,38.7
32,Wettex 4p,7391704800144,19.9,1.0,st,19.9
33,Avfallspåse,7313130180621,17.5,2.0,st,47.8
33,Banan Chiquita,4011,25.9,0.49,kg,12.82
33,Mannerström 2-del,2307122200000,79.9,0.98,kg,78.22
33,Mästerkycklingfilé,2307117800000,89.0,0.91,kg,80.72
33,Standardmjölk 3%,7318690115144,12.9,2.0,st,25.8
33,Tomater krossade,7318690013402,9.0,5.0,st,59.5
34,Banan Chiquita,4011,25.9,0.8,kg,20.59
34,Entrecoté,2372729700000,199.0,0.93,kg,184.67
34,Fiori,7350027794929,11.9,2.0,st,23.8
34,Gainomax apple,7350028548460,11.0,1.0,st,19.9
34,Herrgård 28% mi,2340418100000,99.0,0.66,kg,64.85
34,Jordn.smör Creamy,5707381019298,84.06,1.0,st,98.9
34,Levain,7311070008159,42.9,1.0,st,42.9
34,Majskorn,7318690028819,10.0,2.0,st,33.8
34,Mellanrost Brygg,7310050001142,36.9,1.0,st,50.9
34,Paprika Röd,4688,32.9,0.55,kg,17.93
34,Standardmjölk 3%,7318690115144,12.9,2.0,st,25.8
34,Syrad rödkål,7393853141109,39.9,1.0,st,39.9
35,Bilar Original,7310350109906,10.0,3.0,st,50.7
35,Bärkasse papper,2,3.5,1.0,st,3.5
35,Energidryck Ultra,5060335635716,11.0,2.0,st,20.0
35,Kalvstek,2320763300000,139.0,0.96,kg,133.86
35,Olivolja Classico,80053828,36.9,1.0,st,59.9
35,Standardmjölk 3%,7318690115144,12.9,1.0,st,12.9
35,Vit choklad Hallon,7312060502152,11.0,1.0,st,11.0
36,Bärkasse papper,2,3.5,1.0,st,3.5
36,Chicken & Steak Kv,7311310026745,25.0,1.0,st,52.9
36,Chili Explos. Kv,7311310026752,25.0,1.0,st,52.9
36,Creme Fraiche,7318690140436,37.9,1.0,st,37.9
36,Finmald Lammfärs,7318690131175,49.9,2.0,st,99.8
36,Finsalt m jod burk,7311631524128,12.9,1.0,st,12.9
36,Fiori,7350027794929,11.9,2.0,st,23.8
36,Färskkorv Chorizo,7300209458002,34.9,1.0,st,34.9
36,Mannerström 2-del,2307122200000,99.0,0.97,kg,96.03
36,Mannerström 2-del,2307122200000,99.0,1.0,kg,98.8
36,Standardmjölk 3%,7318690115144,12.9,1.0,st,12.9
36,Syrad rödkål,7393853141109,39.9,1.0,st,39.9
36,Tellicherry Peppar,7311310026806,19.0,1.0,st,52.9
36,Tu majsk Chia/havs,7350028543762,13.0,3.0,st,74.7
37,Banan Chiquita,4011,25.9,1.15,kg,29.79
37,Bärkasse papper,2,3.5,1.0,st,3.5
37,Jasminris,7310751101066,54.5,2.0,st,127.8
37,Majslårfilé 8-pack,2307139100000,89.0,0.68,kg,60.43
37,Majslårfilé 8-pack,2307139100000,89.0,0.68,kg,60.34
37,Mezzi Rigatoni Al,8076809580861,11.0,2.0,st,45.8
37,Morot,7350036730031,10.0,1.0,st,10.0
37,Nötfärs 12%,2319103300000,89.0,1.68,kg,149.88
37,Standardmjölk 3%,7318690115144,13.9,1.0,st,13.9
37,Syrad Borsjtj,7393853161107,39.9,1.0,st,39.9
37,Ärter med fläsk,7318690058939,11.9,2.0,st,23.8
38,Banan Chiquita,4011,25.9,0.88,kg,22.66
38,Cookies,7622300336738,12.5,2.0,st,45.8
38,Levain,7311070008159,42.9,1.0,st,42.9
38,Standardmjölk 3%,7318690115144,13.9,3.0,st,41.7
38,Tomte Pepparkakshu,7312690201296,16.9,1.0,st,16.9
38,Ärter med fläsk,7318690058939,11.9,3.0,st,35.7
39,Banan Chiquita,4011,25.9,0.18,kg,4.66
39,Gourm Hamburgerbr,7311070008180,34.9,1.0,st,34.9
39,Hamburgare chili,7318690099871,24.9,1.0,st,24.9
39,ICA Bad&Toa 6-p,7318690046905,39.9,1.0,st,39.9
39,Lök röd,4082,17.9,0.14,kg,2.6
39,Risgrynsgröt,7318690093084,12.9,1.0,st,12.9
39,Smör normalsaltat,6408432061233,52.9,1.0,st,52.9
39,Standardmjölk 3%,7318690115144,13.9,2.0,st,27.8
39,Vätskeer Apels bru,73150220,44.9,1.0,st,44.9
39,Ärter med fläsk,7318690058939,11.9,1.0,st,11.9
40,chokladcroissant,9033,8.33,1.0,st,8.9
40,Entrecote,2357611800000,139.0,1.08,kg,149.56
40,Estellefläta,9035,8.33,1.0,st,8.9
40,Potatis mjölig,7318690186137,10.0,2.0,st,20.0
40,Risgrynsgröt,7318690093084,12.9,1.0,st,12.9
40,Wienerbröd,9007,8.34,1.0,st,8.9
40,Ärter med fläsk,7318690058939,11.9,1.0,st,11.9
41,Banan Chiquita,4011,25.9,0.8,kg,20.72
41,Blåbär odlade,7318690128847,36.9,1.0,st,36.9
41,Fläckbort white go,5701092111067,72.9,1.0,st,72.9
41,Gourm Hamburgerbr,7311070008180,34.9,1.0,st,34.9
41,Granarolo,2385034200000,139.0,0.81,kg,112.03
41,Gul lök ICA,4666,12.9,0.07,kg,0.9
41,Hamburgare Bacon,7318690046097,24.9,1.0,st,24.9
41,Havregryn,7318690034308,26.9,1.0,st,26.9
41,Kulörtvätt,7318690101154,13.9,1.0,st,13.9
41,Lök röd,4082,17.9,0.09,kg,1.52
41,Ringmunk,9010,8.33,3.0,st,26.7
41,Risgrynsgröt,7318690093084,12.9,2.0,st,25.8
41,Standardmjölk 3%,7318690115144,13.9,2.0,st,27.8
41,Vittvätt pulver,7318690101185,13.9,1.0,st,13.9
41,Äggnudlar,7318690038559,10.0,3.0,st,44.7
42,Banan Chiquita,4011,25.9,0.9,kg,23.31
42,Gul lök ICA,4666,12.9,0.09,kg,1.1
42,Lök vit Morado ICA,3264,12.9,1.0,st,12.9
42,Majslårfilé 8-pack,2307139100000,79.9,0.82,kg,65.28
42,Majslårfilé 8-pack,2307139100000,79.9,0.74,kg,59.05
42,Paprika Röd,4688,52.9,0.27,kg,14.28
42,Topped SaltCaramBr,8711327370753,39.9,2.0,st,79.8
42,Ägg 15-pack frigåe,7392964158938,42.9,1.0,st,42.9
43,Gul lök ICA,4666,12.9,0.44,kg,5.68
43,Handtvål mandelblo,7318690081678,11.9,1.0,st,11.9
43,Jordn.smör Creamy,5707381019298,84.06,1.0,st,98.9
43,Levain,7311070008159,42.9,1.0,st,42.9
43,Oyster Sauce,7311312005298,24.9,1.0,st,24.9
43,Standardmjölk 3%,7318690115144,13.9,2.0,st,27.8
43,Strimlad lårfile,7313940012907,49.9,3.0,st,149.7
44,AVOKADO I NÄT,8713807005636,35.0,1.0,st,35.0
44,Banan Chiquita,4011,26.9,0.66,kg,17.75
44,Juice äp/kiw/an/sp,7318690502050,20.9,1.0,st,19.9
44,Majsinnerfilé,7313940011856,49.9,2.0,st,99.8
44,Standardmjölk 3%,7318690115144,13.9,1.0,st,13.9
44,Tomater,4806,23.9,0.54,kg,12.91
44,Zero Lime,5000112654400,12.0,1.0,st,10.0
44,Ägg frig xtra stor,7310063743091,24.9,1.0,st,24.9
44,Ärter m fläsk Feli,7310090752691,10.9,2.0,st,21.8
45,Banan Chiquita,4011,26.9,0.93,kg,24.88
