article_number,article_name,category
7318690508762,Frigående S-L,
2340396000000,Jämtländsk Hush26%,
7310830020318,*Royal,
2319190900000,Laxsida,
7318690075523,Babyplommontomat,
7393145093604,Tunnbröd,
7310380458395,Avfallspåse,
7350092180030,Humm Blåbär,
7318690513254,Nötfärs 12%,
7318690513728,Spaghetti,
7310063446121,Ägg Frig M/L 18 p,
2012345600000,Citroner i nät,
7350060704114,Pastasås Arrabbiat,
8001665723282,Girasoli Chèvre,
7350025540061,Julskinka,
7350060704336,Ravioli Västerbott,
7318690170426,Juice Apel Ma Pass,
8001665724968,Ravioli Brasato,
7332456000819,Ryggbiff,
682430611744,Voss Vatten,
7318690508939,Basmatiris,
2340101900000,Cheddar 32% XL,
7313940027000,Kycklingbr.filé gr,
7622201636951,*Chocolate Filled,
7318690512301,Handtvål Aloe,
2354873100000,Koktskinka ojämna s,
7318690170419,Nypr Apelsinjuice,
7300300050853,Nötfärs 12%,
7340063016406,Roslagsgrill,
7350054202213,Väddö Kladdkaka,
7318690066903,Ägg M/L frig,
7350000552119,Apelsin Havtorn Gu,
2307115100000,Kycklingfile,
2330078000000,Entrecôte,
7350113940438,Salladsost,
2328015000000,Ryggbiff Irland,
2307116700000,Majskycklingfilé,
7311312007728,*Potato Pops Cheese,
7311312007858,*Potatopops Lök,
7300200438003,Entrecotekorv Chim,
7310865005151,Sv Smör NS 82%,
7318690161882,Vatten Päron/Äpple,
2330072100000,Ryggbiff,
7318690507796,*Vatten Mandarin,
7310867531313,Bara Yog Fru Bl/Bj,
2373761300000,Biff m kappa bit,
5711953169854,Chokladmjölk 0.5%,
7318690489788,ICA Merpack Äpple,
4014400902495,*Kola choc toff Rie,
7300300045842,Lunchkorv 4-pack,
7340131603682,*Nyhet v3 2024,
7350064540473,Grillad kebab,
7318690082415,Hela tomater,
7331147138558,*Kallrökt skivad lax,
7318690514602,*Krossade tomater,
4645,Svamp Champinjon,
7622201056643,Daim kaka,
7622201679040,*Fingers,
7318690508908,Kycklingköttbullar,
7314710720084,Saffransdrömmar,
7310401052441,Troc Gel.Ha Zero B,
7350146811576,*Dimma,
7311379536292,Frisco Hamb.bröd,
7392304211248,Lök gul 1kg,
8024460150534,Olivolja Eko,
8000430395686,Parmigiano Reggiano,
8076809523776,Fettuccine,
7310865081650,GodM Äpplejuice,
7318690505778,Matchkorv,
7350146810234,*Norrland B,
7340195404980,*Norrsken äpple B,
7318693359286,Gul Lök 500g,
7313940012792,Kycklinginnerfilé,
8004603100831,*Mozzarella 100gr,
7100,Pepparsalami,
7332870046516,Berthåga honung,
7318690177821,*Bacon,
7318690051862,Laxpudding,
7350021423184,*Prob Rasberry,
7350021425812,*Crispy Pear BCAA,
4023103222984,Hushållsduk 10p,
7318693356339,Lök,
7318690127611,eco Kokosolja,
7318690162162,Vatten Jordg/Rabar,
2386660100000,Biskopsost 30%,
7350027794530,*Halloumi,
2332812100000,Minutstrimlor,
7350106060242,Basmati ris,
7318690069553,Hamburgare tex-mex,
7318690130840,Vittvätt pulver,
7071322968111,BELLY LAXLOIN,
7350146810203,*Energi Frost B,
2386665400000,Biskop premium,
7332205221205,Fast potatis,
7622201637699,Oreo Creme,
7310050001043,Kaffe Original,
7318690014355,Kamomillte,
7318690127086,*Mozzarella,
7332462077256,Potatisstöt,
7350146810395,*Solsken B,
7311311004810,Vitpeppar Malen,
7340131603620,*Juicy Ruby,
7340131602135,*Mango del sol B,
2319258900000,Rostbiff skivad,
7311310031015,*Taco Spice Mix,
7350146430074,Halloumi,
7350058335696,*Orange Rush B,
7318690158462,Handdisk skogsbris,
2499,Kärleksmums,
7311041045091,Paprikamix,
2372791400000,Rostbiff i bit,
2320258600000,Entrecote bit nöt,
7350002402702,*Grekisk salladsost,
6430048448115,Vaniljglass LF,
2372733800000,Högrev,
8718951122758,Tandb Gold Soft,
7318690186120,*Potatis fast,
2330045600000,Rostbiff,
7318690516422,Hamburgare Folke,
7392672003780,Kvarg naturell,
7318690491170,Svenska Blåbär,
7318690162100,*Vatt Hallon/Grape,
